2015-08-31T14:29:55.297486 INFO   :		[25%-65%] Candidate (z^3+z+1,z^5+z^4+z,z^5+z^3+z) = 0.000078 (std 0.000880424)
2015-08-31T14:29:55.345186 INFO   :		[25%-67%] Candidate (z^3+z+1,z^5+z^4+z,z^5+z^3+z+1) = 0.000078 (std 0.000880424)
2015-08-31T14:29:55.450097 INFO   :		[25%-71%] Candidate (z^3+z+1,z^5+z^4+z,z^5+z^3+z^2+z) = 0.000078 (std 0.000880424)
2015-08-31T14:29:55.498515 INFO   :		[25%-73%] Candidate (z^3+z+1,z^5+z^4+z,z^5+z^3+z^2+z+1) = 0.000078 (std 0.000880424)
2015-08-31T14:29:55.546800 INFO   :		[25%-75%] Candidate (z^3+z+1,z^5+z^4+z,z^5+z^4) = 0.000156 (std 0.0012402)
2015-08-31T14:29:55.594571 INFO   :		[25%-76%] Candidate (z^3+z+1,z^5+z^4+z,z^5+z^4+1) = 0.000078 (std 0.000880424)
2015-08-31T14:29:55.697420 INFO   :		[25%-81%] Candidate (z^3+z+1,z^5+z^4+z,z^5+z^4+z^2) = 0.000078 (std 0.000880424)
2015-08-31T14:29:55.744710 INFO   :		[25%-82%] Candidate (z^3+z+1,z^5+z^4+z,z^5+z^4+z^2+1) = 0.000156 (std 0.0012402)
2015-08-31T14:29:55.796801 INFO   :		[25%-85%] Candidate (z^3+z+1,z^5+z^4+z,z^5+z^4+z^2+z+1) = 0.000156 (std 0.0012402)
2015-08-31T14:29:55.844381 INFO   :		[25%-87%] Candidate (z^3+z+1,z^5+z^4+z,z^5+z^4+z^3) = 0.000078 (std 0.000880424)
2015-08-31T14:29:55.899841 INFO   :		[25%-90%] Candidate (z^3+z+1,z^5+z^4+z,z^5+z^4+z^3+z) = 0.000156 (std 0.0012402)
2015-08-31T14:29:55.947637 INFO   :		[25%-92%] Candidate (z^3+z+1,z^5+z^4+z,z^5+z^4+z^3+z+1) = 0.000078 (std 0.000880424)
2015-08-31T14:29:55.999633 INFO   :		[25%-95%] Candidate (z^3+z+1,z^5+z^4+z,z^5+z^4+z^3+z^2+1) = 0.000156 (std 0.0012402)
2015-08-31T14:29:56.047129 INFO   :		[25%-96%] Candidate (z^3+z+1,z^5+z^4+z,z^5+z^4+z^3+z^2+z) = 0.000156 (std 0.0012402)
2015-08-31T14:29:56.094870 INFO   :		[25%-98%] Candidate (z^3+z+1,z^5+z^4+z,z^5+z^4+z^3+z^2+z+1) = 0.000234 (std 0.00151288)
2015-08-31T14:29:56.095290 INFO   :	[50%]Search for nu with (mu(z)=z^3+z^2+1,mu^{-1}(z)=z^5+z^4+z^2)
2015-08-31T14:29:56.142726 INFO   :		[50%-3%] Candidate (z^3+z^2+1,z^5+z^4+z^2,z) = 0.000234 (std 0.00151288)
2015-08-31T14:29:56.201652 INFO   :		[50%-6%] Candidate (z^3+z^2+1,z^5+z^4+z^2,z^2) = 0.000078 (std 0.000880424)
2015-08-31T14:29:56.328742 INFO   :		[50%-12%] Candidate (z^3+z^2+1,z^5+z^4+z^2,z^3) = 0.000078 (std 0.000880424)
2015-08-31T14:29:56.502862 INFO   :		[50%-21%] Candidate (z^3+z^2+1,z^5+z^4+z^2,z^3+z^2+z) = 0.000313 (std 0.00173993)
2015-08-31T14:29:56.562211 INFO   :		[50%-25%] Candidate (z^3+z^2+1,z^5+z^4+z^2,z^4) = 0.000078 (std 0.000880424)
2015-08-31T14:29:56.638999 INFO   :		[50%-29%] Candidate (z^3+z^2+1,z^5+z^4+z^2,z^4+z+1) = 0.000156 (std 0.0012402)
2015-08-31T14:29:56.735571 INFO   :		[50%-34%] Candidate (z^3+z^2+1,z^5+z^4+z^2,z^4+z^2+z) = 0.000078 (std 0.000880424)
2015-08-31T14:29:56.798266 INFO   :		[50%-39%] Candidate (z^3+z^2+1,z^5+z^4+z^2,z^4+z^3+1) = 0.000078 (std 0.000880424)
2015-08-31T14:29:56.904918 INFO   :		[50%-43%] Candidate (z^3+z^2+1,z^5+z^4+z^2,z^4+z^3+z^2) = 0.000156 (std 0.0012402)
2015-08-31T14:29:56.982688 INFO   :		[50%-48%] Candidate (z^3+z^2+1,z^5+z^4+z^2,z^4+z^3+z^2+z+1) = 0.000156 (std 0.0012402)
2015-08-31T14:29:57.030730 INFO   :		[50%-50%] Candidate (z^3+z^2+1,z^5+z^4+z^2,z^5) = 0.000156 (std 0.0012402)
2015-08-31T14:29:57.102626 INFO   :		[50%-54%] Candidate (z^3+z^2+1,z^5+z^4+z^2,z^5+z+1) = 0.000156 (std 0.0012402)
2015-08-31T14:29:57.155540 INFO   :		[50%-57%] Candidate (z^3+z^2+1,z^5+z^4+z^2,z^5+z^2+1) = 0.000156 (std 0.0012402)
2015-08-31T14:29:57.203307 INFO   :		[50%-59%] Candidate (z^3+z^2+1,z^5+z^4+z^2,z^5+z^2+z) = 0.000078 (std 0.000880424)
2015-08-31T14:29:57.270942 INFO   :		[50%-64%] Candidate (z^3+z^2+1,z^5+z^4+z^2,z^5+z^3+1) = 0.000078 (std 0.000880424)
2015-08-31T14:29:57.321857 INFO   :		[50%-65%] Candidate (z^3+z^2+1,z^5+z^4+z^2,z^5+z^3+z) = 0.000078 (std 0.000880424)
2015-08-31T14:29:57.385161 INFO   :		[50%-68%] Candidate (z^3+z^2+1,z^5+z^4+z^2,z^5+z^3+z^2) = 0.000078 (std 0.000880424)
2015-08-31T14:29:57.506824 INFO   :		[50%-76%] Candidate (z^3+z^2+1,z^5+z^4+z^2,z^5+z^4+1) = 0.000156 (std 0.0012402)
2015-08-31T14:29:57.554232 INFO   :		[50%-78%] Candidate (z^3+z^2+1,z^5+z^4+z^2,z^5+z^4+z) = 0.000234 (std 0.00151288)
2015-08-31T14:29:57.616290 INFO   :		[50%-81%] Candidate (z^3+z^2+1,z^5+z^4+z^2,z^5+z^4+z^2) = 0.000313 (std 0.00173993)
2015-08-31T14:29:57.690661 INFO   :		[50%-85%] Candidate (z^3+z^2+1,z^5+z^4+z^2,z^5+z^4+z^2+z+1) = 0.000078 (std 0.000880424)
2015-08-31T14:29:57.859818 INFO   :		[50%-95%] Candidate (z^3+z^2+1,z^5+z^4+z^2,z^5+z^4+z^3+z^2+1) = 0.000156 (std 0.0012402)
