2015-09-05T13:58:32.802507 INFO   :R0: fins invertible elements:
2015-09-05T13:58:32.802921 INFO   :	candidate found: (z,z^6)
2015-09-05T13:58:32.803288 INFO   :	candidate found: (z^2,z^5)
2015-09-05T13:58:32.803774 INFO   :	candidate found: (z^2+z+1,z^6+z^5+z^3+z^2+1)
2015-09-05T13:58:32.804071 INFO   :	candidate found: (z^3,z^4)
2015-09-05T13:58:32.804791 INFO   :	candidate found: (z^3+z^2+z,z^6+z^5+z^4+z^2+z)
2015-09-05T13:58:32.805241 INFO   :	candidate found: (z^4+z+1,z^6+z^5+z^3+z+1)
2015-09-05T13:58:32.805594 INFO   :	candidate found: (z^4+z^2+1,z^6+z^5+z^4+z^3+1)
2015-09-05T13:58:32.806028 INFO   :	candidate found: (z^4+z^3+1,z^5+z^4+z^3+z^2+1)
2015-09-05T13:58:32.806408 INFO   :	candidate found: (z^4+z^3+z^2,z^5+z^4+z^3+z+1)
2015-09-05T13:58:32.806911 INFO   :	candidate found: (z^4+z^3+z^2+z+1,z^5+z^3+1)
2015-09-05T13:58:32.807543 INFO   :	candidate found: (z^5+z^2+1,z^6+z^5+z^2+z+1)
2015-09-05T13:58:32.807882 INFO   :	candidate found: (z^5+z^2+z,z^6+z^5+z^4+z^2+1)
2015-09-05T13:58:32.808422 INFO   :	candidate found: (z^5+z^3+z,z^6+z^5+z^4+z^3+z^2)
2015-09-05T13:58:32.809029 INFO   :	candidate found: (z^5+z^3+z^2+z+1,z^6+z^5+z^2)
2015-09-05T13:58:32.809500 INFO   :	candidate found: (z^5+z^4+z,z^6+z^4+z^3+z^2+z)
2015-09-05T13:58:32.810385 INFO   :	candidate found: (z^5+z^4+z^2+z+1,z^6+z^5+1)
2015-09-05T13:58:32.811713 INFO   :	candidate found: (z^5+z^4+z^3,z^6+z^4+z^3+z^2+1)
2015-09-05T13:58:32.812418 INFO   :	candidate found: (z^5+z^4+z^3+z^2+z,z^6+z^4+z^2)
2015-09-05T13:58:32.812955 INFO   :	candidate found: (z^6+z+1,z^6+z^4+z^3+z+1)
2015-09-05T13:58:32.813505 INFO   :	candidate found: (z^6+z^3+1,z^6+z^4+z^2+z+1)
2015-09-05T13:58:32.813818 INFO   :	candidate found: (z^6+z^3+z,z^6+z^5+z^4+z+1)
2015-09-05T13:58:32.814145 INFO   :	candidate found: (z^6+z^3+z^2,z^6+z^5+z^4+z^3+z)
2015-09-05T13:58:32.814540 INFO   :	candidate found: (z^6+z^3+z^2+z+1,z^6+z^4+z)
2015-09-05T13:58:32.816638 INFO   :	candidate found: (z^6+z^5+z^3+z^2+z,z^6+z^5+z^4)
2015-09-05T13:58:32.817944 INFO   :R0: Found 24 candidates and 78 non invertible (128 total elements)
2015-09-05T13:58:32.821500 INFO   :R1: invertible elements shall not have itself as inverse
2015-09-05T13:58:32.822275 INFO   :R1: left 24 candidates
2015-09-05T13:58:32.824734 INFO   :R2: balanced hamming weights
2015-09-05T13:58:32.825078 INFO   :	R2a: weights in the classification: [8, 2]
