2015-09-05T13:58:50.944990 INFO   :R0: fins invertible elements:
2015-09-05T13:58:50.945377 INFO   :	candidate found: (z,z^7)
2015-09-05T13:58:50.945722 INFO   :	candidate found: (z^2,z^6)
2015-09-05T13:58:50.946092 INFO   :	candidate found: (z^2+z+1,z^7+z^5+z^4+z^2+z)
2015-09-05T13:58:50.946359 INFO   :	candidate found: (z^3,z^5)
2015-09-05T13:58:50.946732 INFO   :	candidate found: (z^3+z+1,z^7+z^6+z^5+z^2+1)
2015-09-05T13:58:50.947081 INFO   :	candidate found: (z^3+z^2+1,z^7+z^6+z^5+z^3+1)
2015-09-05T13:58:50.947385 INFO   :	candidate found: (z^3+z^2+z,z^6+z^4+z^3+z+1)
2015-09-05T13:58:50.947731 INFO   :	candidate found: (z^4,z^4)
2015-09-05T13:58:50.948113 INFO   :	candidate found: (z^4+z+1,z^7+z^6+z^2)
2015-09-05T13:58:50.948439 INFO   :	candidate found: (z^4+z^2+1,z^6+z^4+1)
2015-09-05T13:58:50.948748 INFO   :	candidate found: (z^4+z^2+z,z^7+z^6+z^5+z^4+z)
2015-09-05T13:58:50.949352 INFO   :	candidate found: (z^4+z^3+1,z^6+z^5+z^2)
2015-09-05T13:58:50.949719 INFO   :	candidate found: (z^4+z^3+z,z^7+z^6+z^5+z^4+z^2)
2015-09-05T13:58:50.950112 INFO   :	candidate found: (z^4+z^3+z^2,z^7+z^5+z^3+z^2+1)
2015-09-05T13:58:50.950589 INFO   :	candidate found: (z^4+z^3+z^2+z+1,z^6+z^3+z)
2015-09-05T13:58:50.951126 INFO   :	candidate found: (z^5+z+1,z^5+z+1)
2015-09-05T13:58:50.951481 INFO   :	candidate found: (z^5+z^2+1,z^5+z^4+z^3+z^2+z)
2015-09-05T13:58:50.951798 INFO   :	candidate found: (z^5+z^2+z,z^6+z^5+z)
2015-09-05T13:58:50.952223 INFO   :	candidate found: (z^5+z^3+1,z^7+z^6+z^2+z+1)
2015-09-05T13:58:50.952664 INFO   :	candidate found: (z^5+z^3+z,z^7+z^5+z^3)
2015-09-05T13:58:50.953036 INFO   :	candidate found: (z^5+z^3+z^2,z^6+z^5+z^4+z^3+1)
2015-09-05T13:58:50.953463 INFO   :	candidate found: (z^5+z^3+z^2+z+1,z^6+z^5+1)
2015-09-05T13:58:50.954005 INFO   :	candidate found: (z^5+z^4+1,z^6+z^3+z^2)
2015-09-05T13:58:50.954402 INFO   :	candidate found: (z^5+z^4+z,z^5+z^4+z)
2015-09-05T13:58:50.954793 INFO   :	candidate found: (z^5+z^4+z^2,z^6+z^5+z^4+z^3+z)
2015-09-05T13:58:50.955243 INFO   :	candidate found: (z^5+z^4+z^2+z+1,z^6+z^5+z^4+z+1)
2015-09-05T13:58:50.955595 INFO   :	candidate found: (z^5+z^4+z^3,z^7+z^6+z^4+z^2+z)
2015-09-05T13:58:50.956000 INFO   :	candidate found: (z^5+z^4+z^3+z+1,z^7+z^6+z^5+z^3+z^2)
2015-09-05T13:58:50.957234 INFO   :	candidate found: (z^5+z^4+z^3+z^2+1,z^6+z^5+z^3)
2015-09-05T13:58:50.957937 INFO   :	candidate found: (z^6+z+1,z^7+z^5+z^2+z+1)
2015-09-05T13:58:50.958286 INFO   :	candidate found: (z^6+z^2+1,z^6+z^2+1)
2015-09-05T13:58:50.958606 INFO   :	candidate found: (z^6+z^2+z,z^7+z^4+1)
2015-09-05T13:58:50.959014 INFO   :	candidate found: (z^6+z^3+1,z^7+z^6+z^5+z^4+z^3)
2015-09-05T13:58:50.959704 INFO   :	candidate found: (z^6+z^3+z^2+z+1,z^7+z^5+1)
2015-09-05T13:58:50.960196 INFO   :	candidate found: (z^6+z^4+z,z^7+z^6+z^5+z+1)
2015-09-05T13:58:50.960576 INFO   :	candidate found: (z^6+z^4+z^2,z^6+z^4+z^2)
2015-09-05T13:58:50.960993 INFO   :	candidate found: (z^6+z^4+z^2+z+1,z^7+z^6+z^4+z^2+1)
2015-09-05T13:58:50.961339 INFO   :	candidate found: (z^6+z^4+z^3,z^7+z^5+z^4+z^3+z^2)
2015-09-05T13:58:50.961952 INFO   :	candidate found: (z^6+z^4+z^3+z^2+1,z^6+z^5+z^4+z^2+1)
2015-09-05T13:58:50.962289 INFO   :	candidate found: (z^6+z^4+z^3+z^2+z,z^7+z^5+z^4)
2015-09-05T13:58:50.963804 INFO   :	candidate found: (z^6+z^5+z^2+z+1,z^6+z^5+z^2+z+1)
2015-09-05T13:58:50.964606 INFO   :	candidate found: (z^6+z^5+z^3+z+1,z^6+z^5+z^4)
2015-09-05T13:58:50.965062 INFO   :	candidate found: (z^6+z^5+z^3+z^2+1,z^7+z+1)
2015-09-05T13:58:50.965463 INFO   :	candidate found: (z^6+z^5+z^3+z^2+z,z^7+z^5+z^4+z^3+1)
2015-09-05T13:58:50.966912 INFO   :	candidate found: (z^6+z^5+z^4+z^2+z,z^6+z^5+z^4+z^2+z)
2015-09-05T13:58:50.968019 INFO   :	candidate found: (z^6+z^5+z^4+z^3+z^2,z^7+z^4+z)
2015-09-05T13:58:50.968586 INFO   :	candidate found: (z^6+z^5+z^4+z^3+z^2+z+1,z^7+z^6+z^5+z^4+z^3+z^2+1)
2015-09-05T13:58:50.969642 INFO   :	candidate found: (z^7+z^2+1,z^7+z^6+z^3+z+1)
2015-09-05T13:58:50.970064 INFO   :	candidate found: (z^7+z^2+z,z^7+z^6+z^4+z+1)
2015-09-05T13:58:50.970591 INFO   :	candidate found: (z^7+z^3+1,z^7+z^3+1)
2015-09-05T13:58:50.971013 INFO   :	candidate found: (z^7+z^3+z,z^7+z^5+z)
2015-09-05T13:58:50.971517 INFO   :	candidate found: (z^7+z^3+z^2,z^7+z^6+z^3)
2015-09-05T13:58:50.972096 INFO   :	candidate found: (z^7+z^3+z^2+z+1,z^7+z^4+z^2)
2015-09-05T13:58:50.973611 INFO   :	candidate found: (z^7+z^4+z^2+z+1,z^7+z^6+z)
2015-09-05T13:58:50.974057 INFO   :	candidate found: (z^7+z^4+z^3,z^7+z^4+z^3)
2015-09-05T13:58:50.974683 INFO   :	candidate found: (z^7+z^4+z^3+z+1,z^7+z^6+z^5+z^2+z)
2015-09-05T13:58:50.975219 INFO   :	candidate found: (z^7+z^4+z^3+z^2+1,z^7+z^6+z^4+z^3+1)
2015-09-05T13:58:50.975693 INFO   :	candidate found: (z^7+z^4+z^3+z^2+z,z^7+z^6+z^4)
2015-09-05T13:58:50.976990 INFO   :	candidate found: (z^7+z^5+z^2,z^7+z^6+z^5+z^4+1)
2015-09-05T13:58:50.977998 INFO   :	candidate found: (z^7+z^5+z^3+z+1,z^7+z^5+z^3+z+1)
2015-09-05T13:58:50.978719 INFO   :	candidate found: (z^7+z^5+z^3+z^2+z,z^7+z^6+z^5+z^3+z)
2015-09-05T13:58:50.979669 INFO   :	candidate found: (z^7+z^5+z^4+z+1,z^7+z^6+z^3+z^2+z)
2015-09-05T13:58:50.980229 INFO   :	candidate found: (z^7+z^5+z^4+z^2+1,z^7+z^6+z^5)
2015-09-05T13:58:50.981155 INFO   :	candidate found: (z^7+z^5+z^4+z^3+z,z^7+z^5+z^4+z^3+z)
2015-09-05T13:58:50.981921 INFO   :	candidate found: (z^7+z^5+z^4+z^3+z^2+z+1,z^7+z^6+z^5+z^4+z^3+z+1)
